DARMANIS_OPCS,DARMANIS_MIXTURENEUOLIGOPC,DARMANIS_OLIGO,DARMANIS_ASTROCYES,DAMANIS_MICROGLIA,DARMANIS_MIXTURENEUASTRO,DARMANIS_NEUROND,DARMANIS_ENDOTHELIAL,DARMANIS_FETAL1,DARMANIS_FETAL2
C1orf129,GPR17,KLK6,AGXT2L1,CD53,HTR2C,TMEM130,IFITM1,MKI67,CD24
PDGFRA,PLP1,ERMN,FGFR3,ITGAX,PROX1,GABRB2,ITIH5,TOP2A,DCX
LRRK2,FERMT1,UGT8,AQP4,OLR1,SLC10A4,VSNL1,APOLD1,KIAA0101,NEUROD6
LHFPL3,LIMS2,TF,GJA1,FCGR3A,CALB2,GABRA1,TM4SF1,CDK1,SOX11
PCDH15,PLD5,CNDP1,AGT,C3,KCNT2,SYNPR,PTRF,RRM2,SATB2
BLM,C1orf173,OPALIN,MGST1,IL1B,TTTY15,THY1,ANXA1,TFAP2C,TMSB15A
LAMB4,C2orf88,RNASE1,SLC39A12,CCL3,GJA1,CAMK2A,PEAR1,HIST1H1B,STMN2
MEGF11,HRASLS,ENPP2,SLC25A18,CCL4,EDNRB,MEG3,SDPR,CENPF,DPYSL3
B3GNT7,C1orf192,MAG,GPR98,LILRB4,COL21A1,GABRG2,GNG11,BIRC5,SOX4
IL1RAP,SLC2A13,CARNS1,SLCO1C1,C3AR1,VIP,CKMT1B,FOXC1,TNC,BCL11A
SEMA5A,GPNMB,MOBP,SDC4,LAPTM5,TGFB2,CCK,ESAM,NUSAP1,MEX3A
CRISPLD2,HS6ST2,CLDN11,GPR37L1,DHRS9,PTHLH,CHGB,IFI27,AURKB,NREP
XYLT1,KY,C11orf9,ACSBG1,PLEK,AQP4,SCG2,GPR116,CASC5,HN1
HAS2,ZNF268,DBNDD2,SFXN5,ALOX5AP,CLDN18,DNM1,MSX1,UBE2C,NNAT
TNR,DNER,CAPN3,BMPR1B,CD74,NLGN4Y,MAP7D2,TGM2,EOMES,TUBA1A
GALR1,HR,FOLH1,ATP13A4,MSR1,IGFBP5,CELF4,CEBPD,PBK,SLA
RAB31,C2orf27A,LPAR1,RANBP3L,PTPRC,KDM5D,CIT,TBX3,MLF1IP,MN1
SH2D4A,NRIP3,GJB1,GJB6,GPR183,MTUS2,UNC80,IL6,KIF23,NEUROD2
TREM1,SCG2,TMEM144,GFAP,RGS10,USP9Y,NRXN3,EDN3,BRIP1,TMSB10
LUZP2,SENP8,ABCA8,PRODH,C1QA,CALN1,SCN2A,ITGA1,UHRF1,ADRA2A
GAB3,SOX2-__OT,HHIP,SLC4A4,LCP1,LOC653653,SNAP25,ICAM1,CLSPN,SRGAP1