PyramidalThy_HIPPD_Neuroexpresso,GABASST_HIPPD_Neuroexpresso
CRIM1,CACNG2
NR4A2,RPP25
DCN,KCNMB2
GABRB3,PCSK1
NEUROD6,SLC38A1
RSPO2,IL34
FEZF2,SLC32A1
KIT,POSTN
GRP,NEFH
SORCS3,GAD2
PDE1A,RELN
NPR3,CLSTN3
PSRC1,MOXD1
LDB2,SLC8A1
NOV,RGS8
NTS,OLFM3
PPP3CA,RAMP3
SLC17A6,COL19A1
,GNA14
,IGFBP4
,FLYWCH1
,KCNC1
,CACNA2D2
,ACHE
,CORT
,KLF5
,SOCS5
,PVALB
,SYNGR1
,NXPH1
,CYGB
,ELAVL2
,PAPPA
,DLX1
,CAMK1G
,LYNX1
,SST
,LHX6
,NNMT
,RAB3B
,GRPR
,ALK
,PCDH18
,ENTPD4
,RPH3A
,SLC1A6
,PTPRT
,CDH13
,LGALS1
,NPY
,PNOC
,SLC27A2
,SEZ6
,GP5
,SYNGR1